,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
22,1,5616,30102,Matthew Hayden,Zaheer Khan,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,
23,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,
24,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.2,0.0,0.0,0.0,0.0,0.0,0.0,,
25,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.3,2.0,2.0,275.0,102.0,2.0,0.0,,
26,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.4,4.0,4.0,33.0,107.0,7.0,0.0,,
27,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.5,0.0,0.0,0.0,0.0,0.0,0.0,,
28,1,5390,34105,Adam Gilchrist,Javagal Srinath,3.6,0.0,0.0,0.0,0.0,0.0,0.0,,
29,1,5616,30102,Matthew Hayden,Zaheer Khan,4.1,0.0,0.0,0.0,0.0,0.0,0.0,,
30,1,5616,30102,Matthew Hayden,Zaheer Khan,4.2,0.0,0.0,0.0,0.0,0.0,0.0,,
31,1,5616,30102,Matthew Hayden,Zaheer Khan,4.3,0.0,1.0,0.0,0.0,0.0,1.0,,
32,1,5616,30102,Matthew Hayden,Zaheer Khan,4.3,0.0,0.0,0.0,0.0,0.0,0.0,,
33,1,5616,30102,Matthew Hayden,Zaheer Khan,4.4,3.0,3.0,137.0,288.0,5.0,0.0,,
34,1,5390,30102,Adam Gilchrist,Zaheer Khan,4.5,0.0,1.0,0.0,0.0,0.0,1.0,,
35,1,5390,30102,Adam Gilchrist,Zaheer Khan,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,
36,1,5390,30102,Adam Gilchrist,Zaheer Khan,4.6,4.0,4.0,235.0,28.0,1.0,0.0,,
37,1,5616,34105,Matthew Hayden,Javagal Srinath,5.1,0.0,0.0,0.0,0.0,0.0,0.0,,
38,1,5616,34105,Matthew Hayden,Javagal Srinath,5.2,1.0,1.0,251.0,202.0,3.0,0.0,,
39,1,5390,34105,Adam Gilchrist,Javagal Srinath,5.3,4.0,4.0,324.0,121.0,2.0,0.0,,
40,1,5390,34105,Adam Gilchrist,Javagal Srinath,5.4,0.0,0.0,0.0,0.0,0.0,0.0,,
41,1,5390,34105,Adam Gilchrist,Javagal Srinath,5.5,4.0,4.0,335.0,145.0,2.0,0.0,,
42,1,5390,34105,Adam Gilchrist,Javagal Srinath,5.6,0.0,0.0,0.0,0.0,0.0,0.0,,
43,1,5616,31820,Matthew Hayden,Ashish Nehra,6.1,0.0,0.0,0.0,0.0,0.0,0.0,,
44,1,5616,31820,Matthew Hayden,Ashish Nehra,6.2,1.0,1.0,122.0,180.0,6.0,0.0,,
45,1,5390,31820,Adam Gilchrist,Ashish Nehra,6.3,0.0,0.0,0.0,0.0,0.0,0.0,,
46,1,5390,31820,Adam Gilchrist,Ashish Nehra,6.4,0.0,0.0,0.0,0.0,0.0,0.0,,
47,1,5390,31820,Adam Gilchrist,Ashish Nehra,6.5,2.0,2.0,102.0,217.0,6.0,0.0,,
48,1,5390,31820,Adam Gilchrist,Ashish Nehra,6.6,0.0,1.0,0.0,0.0,0.0,1.0,,
49,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.1,4.0,5.0,334.0,210.0,3.0,1.0,,
50,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.1,0.0,0.0,0.0,0.0,0.0,0.0,,
51,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.2,4.0,4.0,33.0,239.0,6.0,0.0,,
52,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.3,0.0,0.0,0.0,0.0,0.0,0.0,,
53,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.4,6.0,6.0,24.0,285.0,6.0,0.0,,
54,1,5390,34105,Adam Gilchrist,Javagal Srinath,7.5,1.0,1.0,122.0,185.0,6.0,0.0,,
55,1,5616,34105,Matthew Hayden,Javagal Srinath,7.6,0.0,0.0,0.0,0.0,0.0,0.0,,
56,1,5390,31820,Adam Gilchrist,Ashish Nehra,8.1,1.0,1.0,194.0,120.0,1.0,0.0,,
